name,slug,exercise_family,modality,movement_pattern,primary_muscles,secondary_muscles,equipment,is_compound,fatigue_cost,technical_demand,default_rep_low,default_rep_high,default_rest_sec,is_unilateral,tracking_type,rom_bias,angle,grip_width,grip_orientation,head_bias,joint_load,skill_gate,stabilises,selectable,video_url
Conventional Deadlift,conventional-deadlift,deadlift,strength,hinge,glutes|hamstrings,lats|traps,barbell,TRUE,5,3,1,5,240,FALSE,weight_reps,,,,,,lower_back,,erectors,TRUE,
Sumo Deadlift,sumo-deadlift,deadlift,strength,hinge,glutes|quads,adductors|traps,barbell,TRUE,5,4,1,5,240,FALSE,weight_reps,,,,,,lower_back|hip,,erectors,TRUE,
Trap Bar Deadlift,trap-bar-deadlift,deadlift,strength,hinge,glutes|quads,hamstrings|traps,trap_bar,TRUE,4,2,3,8,180,FALSE,weight_reps,,,,,,,,erectors,TRUE,
Rack Pull,rack-pull,deadlift,strength,hinge,glutes|erectors,traps|lats,barbell|rack,TRUE,4,2,3,6,180,FALSE,weight_reps,shortened,,,,,lower_back,,,TRUE,
Dumbbell Sumo Deadlift,dumbbell-sumo-deadlift,deadlift,strength,hinge,glutes|quads,adductors,dumbbell,TRUE,3,1,8,15,120,FALSE,weight_reps,,,,,,,,erectors,TRUE,
Barbell Hip Thrust,barbell-hip-thrust,hip_thrust,strength,hinge,glutes,hamstrings,barbell|bench,TRUE,3,2,8,15,120,FALSE,weight_reps,shortened,,,,,,,,TRUE,
Machine Hip Thrust,machine-hip-thrust,hip_thrust,strength,hinge,glutes,hamstrings,hip_thrust_machine,TRUE,3,1,8,15,120,FALSE,weight_reps,shortened,,,,,,,,TRUE,
Dumbbell Hip Thrust,dumbbell-hip-thrust,hip_thrust,strength,hinge,glutes,hamstrings,dumbbell|bench,TRUE,2,1,10,20,90,FALSE,weight_reps,shortened,,,,,,,,TRUE,
Single-Leg Hip Thrust,single-leg-hip-thrust,hip_thrust,strength,hinge,glutes,hamstrings,bodyweight|bench,TRUE,2,2,8,15,90,TRUE,reps_only,shortened,,,,,,,abs,TRUE,
Glute Bridge,glute-bridge,hip_thrust,strength,hinge,glutes,hamstrings,bodyweight,FALSE,1,1,12,25,60,FALSE,reps_only,shortened,,,,,,,,TRUE,
