name,slug,exercise_family,modality,movement_pattern,primary_muscles,secondary_muscles,equipment,is_compound,fatigue_cost,technical_demand,default_rep_low,default_rep_high,default_rest_sec,is_unilateral,tracking_type,rom_bias,angle,grip_width,grip_orientation,head_bias,joint_load,skill_gate,stabilises,selectable
Romanian Deadlift,romanian-deadlift,romanian_deadlift,strength,hinge,hamstrings|glutes,lats,barbell,TRUE,4,2,6,10,150,FALSE,weight_reps,stretch,,,,,lower_back,,erectors,TRUE
Dumbbell Romanian Deadlift,dumbbell-romanian-deadlift,romanian_deadlift,strength,hinge,hamstrings|glutes,forearms,dumbbell,TRUE,3,2,8,12,120,FALSE,weight_reps,stretch,,,,,lower_back,,erectors,TRUE
Deficit Romanian Deadlift,deficit-romanian-deadlift,romanian_deadlift,strength,hinge,hamstrings|glutes,lats,barbell|box,TRUE,4,3,6,10,150,FALSE,weight_reps,stretch,,,,,lower_back,,erectors,TRUE
B-Stance Romanian Deadlift,b-stance-romanian-deadlift,romanian_deadlift,strength,hinge,hamstrings|glutes,,dumbbell,TRUE,3,2,8,12,120,TRUE,weight_reps,stretch,,,,,lower_back,,erectors|abs,TRUE
Stiff-Leg Deadlift,stiff-leg-deadlift,stiff_leg_deadlift,strength,hinge,hamstrings|glutes,lats,barbell,TRUE,4,3,6,10,150,FALSE,weight_reps,stretch,,,,,lower_back,,erectors,TRUE
Dumbbell Stiff-Leg Deadlift,dumbbell-stiff-leg-deadlift,stiff_leg_deadlift,strength,hinge,hamstrings|glutes,forearms,dumbbell,TRUE,3,2,8,12,120,FALSE,weight_reps,stretch,,,,,lower_back,,erectors,TRUE
Barbell Good Morning,barbell-good-morning,good_morning,strength,hinge,hamstrings|erectors,glutes,barbell|rack,TRUE,3,4,8,12,120,FALSE,weight_reps,stretch,,,,,lower_back,,abs,TRUE
Band Good Morning,band-good-morning,good_morning,strength,hinge,hamstrings|erectors,glutes,bands,FALSE,1,2,12,20,60,FALSE,reps_only,stretch,,,,,,,,TRUE
Seated Leg Curl,seated-leg-curl,leg_curl,strength,isolation,hamstrings,calves,leg_curl_machine,FALSE,2,1,8,15,90,FALSE,weight_reps,stretch,,,,,,,,TRUE
Lying Leg Curl,lying-leg-curl,leg_curl,strength,isolation,hamstrings,calves,leg_curl_machine,FALSE,2,1,8,15,90,FALSE,weight_reps,shortened,,,,,,,,TRUE
Single-Leg Seated Leg Curl,single-leg-seated-leg-curl,leg_curl,strength,isolation,hamstrings,calves,leg_curl_machine,FALSE,1,1,10,15,60,TRUE,weight_reps,stretch,,,,,,,,TRUE
Standing Single-Leg Curl,standing-single-leg-curl,leg_curl,strength,isolation,hamstrings,calves,leg_curl_machine,FALSE,1,1,10,15,60,TRUE,weight_reps,shortened,,,,,,,,TRUE
Band Leg Curl,band-leg-curl,leg_curl,strength,isolation,hamstrings,calves,bands,FALSE,1,1,12,20,45,FALSE,reps_only,shortened,,,,,,,,TRUE
Nordic Curl,nordic-curl,nordic,strength,isolation,hamstrings,glutes|calves,bodyweight|bench,FALSE,3,4,3,8,120,FALSE,reps_only,stretch,,,,,knee,,,TRUE
Band-Assisted Nordic Curl,band-assisted-nordic-curl,nordic,strength,isolation,hamstrings,glutes|calves,bodyweight|bands|bench,FALSE,2,3,5,10,90,FALSE,reps_only,stretch,,,,,knee,,,TRUE
Glute-Ham Raise,glute-ham-raise,nordic,strength,isolation,hamstrings,glutes|erectors,back_extension_bench,FALSE,3,3,6,12,120,FALSE,reps_only,stretch,,,,,knee,,,TRUE
Sliding Leg Curl,sliding-leg-curl,sliding_curl,strength,isolation,hamstrings,glutes|abs,bodyweight,FALSE,1,2,8,15,60,FALSE,reps_only,shortened,,,,,,,,TRUE
Stability Ball Leg Curl,stability-ball-leg-curl,sliding_curl,strength,isolation,hamstrings,glutes|abs,bodyweight|stability_ball,FALSE,1,2,10,20,60,FALSE,reps_only,shortened,,,,,,,,TRUE
Single-Leg 45-Degree Hip Extension,single-leg-45-degree-hip-extension,hip_extension,strength,hinge,hamstrings|glutes,,back_extension_bench,FALSE,2,2,10,15,90,TRUE,weight_reps,,,,,,lower_back,,erectors,TRUE
Good Morning off Pins,good-morning-off-pins,good_morning,strength,hinge,hamstrings,glutes|erectors,barbell|rack,TRUE,4,4,3,8,150,FALSE,weight_reps,stretch,,,,,lower_back,,erectors|abs,FALSE
Clean Deadlift,clean-deadlift,deadlift,strength,hinge,hamstrings,glutes|erectors|traps,barbell|platform,TRUE,4,3,3,6,180,FALSE,weight_reps,,,,,,lower_back,,erectors|abs,FALSE
Snatch Deadlift,snatch-deadlift,deadlift,strength,hinge,hamstrings,glutes|erectors|traps,barbell|platform,TRUE,4,4,3,6,180,FALSE,weight_reps,stretch,,,,,lower_back,,erectors|abs,FALSE
Lunge Pass Through,lunge-pass-through,lunge,strength,lunge,hamstrings,glutes|quads|abs,kettlebell,TRUE,2,3,8,16,60,TRUE,reps_only,,,,,,knee,,abs|obliques,FALSE
Floor Glute-Ham Raise,floor-glute-ham-raise,nordic_curl,strength,hinge,hamstrings,glutes,bodyweight,FALSE,3,3,3,8,120,FALSE,reps_only,shortened,,,,,knee,,erectors|abs,FALSE
