name,slug,exercise_family,modality,movement_pattern,primary_muscles,secondary_muscles,equipment,is_compound,fatigue_cost,technical_demand,default_rep_low,default_rep_high,default_rest_sec,is_unilateral,tracking_type,rom_bias,angle,grip_width,grip_orientation,head_bias,joint_load,skill_gate,stabilises,selectable,video_url
Pull-Up,pull-up,pull_up,strength,pull_v,lats,biceps|mid_back|forearms,pullup_bar,TRUE,3,2,4,10,120,FALSE,reps_only,,,wide,,,shoulder,,,TRUE,
Weighted Pull-Up,weighted-pull-up,pull_up,strength,pull_v,lats,biceps|mid_back,pullup_bar|dip_belt,TRUE,4,3,3,8,180,FALSE,weight_reps,,,wide,,,shoulder|elbow,,,TRUE,
Chin-Up,chin-up,pull_up,strength,pull_v,lats|biceps,mid_back,pullup_bar,TRUE,3,2,5,12,120,FALSE,reps_only,,,,supinated,,elbow,,abs,TRUE,
Neutral-Grip Pull-Up,neutral-grip-pull-up,pull_up,strength,pull_v,lats,biceps|mid_back,pullup_bar,TRUE,3,2,5,12,120,FALSE,reps_only,,,,neutral,,,,,TRUE,
Band-Assisted Pull-Up,band-assisted-pull-up,pull_up,strength,pull_v,lats,biceps|mid_back,pullup_bar|bands,TRUE,2,2,6,15,90,FALSE,reps_only,,,,,,,,,TRUE,
Lat Pulldown,lat-pulldown,pulldown,strength,pull_v,lats,biceps|mid_back,lat_pulldown,TRUE,2,1,8,15,90,FALSE,weight_reps,,,wide,,,,,,TRUE,
Close-Grip Lat Pulldown,close-grip-lat-pulldown,pulldown,strength,pull_v,lats,biceps|mid_back,lat_pulldown,TRUE,2,1,8,15,90,FALSE,weight_reps,,,close,,,,,,TRUE,
Single-Arm Lat Pulldown,single-arm-lat-pulldown,pulldown,strength,pull_v,lats,biceps|obliques,lat_pulldown,TRUE,1,1,10,15,60,TRUE,weight_reps,stretch,,,,,,,,TRUE,
Band Lat Pulldown,band-lat-pulldown,pulldown,strength,pull_v,lats,biceps|mid_back,bands,TRUE,1,1,12,20,60,FALSE,reps_only,,,,,,,,,TRUE,
Straight-Arm Pulldown,straight-arm-pulldown,pullover,strength,pull_v,lats,triceps,cable,FALSE,1,2,10,20,60,FALSE,weight_reps,stretch,,,,,shoulder,,abs,TRUE,
Dumbbell Pullover,dumbbell-pullover,pullover,strength,pull_v,lats,chest|triceps,dumbbell|bench,FALSE,2,2,10,15,90,FALSE,weight_reps,stretch,,,,,shoulder,,,TRUE,
Barbell Row,barbell-row,barbell_row,strength,pull_h,lats|mid_back,biceps|rear_delts,barbell,TRUE,4,3,6,10,150,FALSE,weight_reps,,,,,,lower_back,,erectors,TRUE,
Pendlay Row,pendlay-row,barbell_row,strength,pull_h,mid_back|lats,biceps,barbell,TRUE,4,4,4,8,150,FALSE,weight_reps,,,,,,lower_back,,erectors,TRUE,
Underhand Barbell Row,underhand-barbell-row,barbell_row,strength,pull_h,lats|mid_back,biceps,barbell,TRUE,3,3,6,12,150,FALSE,weight_reps,,,,supinated,,lower_back|elbow,,erectors,TRUE,
T-Bar Row,t-bar-row,barbell_row,strength,pull_h,mid_back|lats,biceps|rear_delts,barbell|landmine,TRUE,3,2,8,12,120,FALSE,weight_reps,,,,,,lower_back,,erectors,TRUE,
Landmine Row,landmine-row,barbell_row,strength,pull_h,lats|mid_back,biceps|rear_delts,barbell|landmine,TRUE,3,2,8,12,120,TRUE,weight_reps,stretch,,,,,lower_back,,,TRUE,
Seal Row,seal-row,barbell_row,strength,pull_h,mid_back|lats,biceps|rear_delts,barbell|bench,TRUE,2,1,8,15,90,FALSE,weight_reps,,,,,,,,,TRUE,
