name,slug,exercise_family,modality,movement_pattern,primary_muscles,secondary_muscles,equipment,is_compound,fatigue_cost,technical_demand,default_rep_low,default_rep_high,default_rest_sec,is_unilateral,tracking_type,rom_bias,angle,grip_width,grip_orientation,head_bias,joint_load,skill_gate,stabilises,selectable,video_url
Snatch,snatch,snatch,strength,explosive,glutes|hamstrings|traps,quads|side_delts,barbell|platform,TRUE,3,5,1,3,180,FALSE,weight_reps,,,,,,shoulder|lower_back,olympic-lift,abs,TRUE,
Power Snatch,power-snatch,snatch,strength,explosive,glutes|hamstrings|traps,quads|side_delts,barbell|platform,TRUE,3,5,1,3,180,FALSE,weight_reps,,,,,,shoulder|lower_back,olympic-lift,abs,TRUE,
Hang Power Snatch,hang-power-snatch,snatch,strength,explosive,traps|glutes,hamstrings|side_delts,barbell|platform,TRUE,3,4,1,3,150,FALSE,weight_reps,shortened,,,,,shoulder,,abs,TRUE,
Clean and Jerk,clean-and-jerk,clean_and_jerk,strength,explosive,glutes|quads|traps,front_delts|triceps,barbell|platform,TRUE,4,5,1,3,180,FALSE,weight_reps,,,,,,shoulder|lower_back,olympic-lift,abs,TRUE,
Power Clean,power-clean,clean,strength,explosive,glutes|quads|traps,hamstrings,barbell|platform,TRUE,3,4,1,5,180,FALSE,weight_reps,,,,,,lower_back|wrist,,erectors|abs,TRUE,
Hang Power Clean,hang-power-clean,clean,strength,explosive,traps|glutes,quads|hamstrings,barbell|platform,TRUE,3,4,2,5,150,FALSE,weight_reps,shortened,,,,,wrist,,abs,TRUE,
Split Jerk,split-jerk,jerk,strength,explosive,front_delts|quads,triceps|traps,barbell|rack|platform,TRUE,4,5,1,3,180,FALSE,weight_reps,,overhead,,,,shoulder,olympic-lift,abs,TRUE,
Push Jerk,push-jerk,jerk,strength,explosive,front_delts|quads,triceps|traps,barbell|rack,TRUE,3,4,2,5,180,FALSE,weight_reps,,overhead,,,,shoulder,,abs,TRUE,
Clean Pull,clean-pull,olympic_pull,strength,explosive,glutes|traps,hamstrings|quads,barbell|platform,TRUE,3,3,2,5,150,FALSE,weight_reps,,,,,,lower_back,,erectors,TRUE,
Snatch Pull,snatch-pull,olympic_pull,strength,explosive,glutes|traps,hamstrings|upper_back,barbell|platform,TRUE,3,3,2,5,150,FALSE,weight_reps,,,wide,,,lower_back,,erectors,TRUE,
Barbell High Pull,barbell-high-pull,olympic_pull,strength,explosive,traps|side_delts,glutes|hamstrings|biceps,barbell,TRUE,2,3,3,8,120,FALSE,weight_reps,,,,,,shoulder,,,TRUE,
Kettlebell Clean,kettlebell-clean,kettlebell_ballistic,strength,explosive,glutes|traps,hamstrings|forearms,kettlebell,TRUE,2,3,5,10,90,TRUE,weight_reps,,,,,,wrist,,abs,TRUE,
Kettlebell Snatch,kettlebell-snatch,kettlebell_ballistic,strength,explosive,glutes|traps,hamstrings|front_delts,kettlebell,TRUE,3,4,5,10,120,TRUE,weight_reps,,overhead,,,,shoulder|wrist,,abs,TRUE,
Kettlebell High Pull,kettlebell-high-pull,kettlebell_ballistic,strength,explosive,traps|glutes,hamstrings|side_delts,kettlebell,TRUE,2,3,8,15,90,TRUE,weight_reps,,,,,,shoulder,,abs,TRUE,
Turkish Get-Up,turkish-get-up,get_up,strength,carry,abs|front_delts,obliques|traps|quads,kettlebell,TRUE,2,4,3,6,120,TRUE,weight_reps,,overhead,,,,shoulder,,,TRUE,
Box Jump,box-jump,jump,strength,explosive,quads|glutes,calves|hamstrings,box,TRUE,2,2,3,8,120,FALSE,reps_only,,,,,,knee,,,TRUE,
Broad Jump,broad-jump,jump,strength,explosive,glutes|quads,hamstrings|calves,bodyweight,TRUE,2,3,3,6,120,FALSE,reps_only,,,,,,knee,,,TRUE,
Med Ball Slam,med-ball-slam,throw,strength,explosive,abs|lats,obliques|front_delts,med_ball,TRUE,2,1,8,15,60,FALSE,reps_only,,,,,,,,,TRUE,
Rotational Med Ball Throw,rotational-med-ball-throw,throw,strength,explosive,obliques|abs,glutes|front_delts,med_ball,TRUE,2,2,5,10,90,TRUE,reps_only,,,,,,lower_back,,,TRUE,
Med Ball Chest Pass,med-ball-chest-pass,throw,strength,explosive,chest|triceps,front_delts,med_ball,TRUE,2,1,6,12,60,FALSE,reps_only,,,,,,,,abs,TRUE,
Farmer's Carry,farmers-carry,carry,strength,carry,traps|forearms,abs|glutes|erectors,dumbbell,TRUE,3,1,30,60,90,FALSE,time_load,,,,,,,,,TRUE,
Trap Bar Farmer's Carry,trap-bar-farmers-carry,carry,strength,carry,traps|forearms,abs|glutes|erectors,trap_bar,TRUE,3,1,30,60,90,FALSE,time_load,,,,,,,,,TRUE,
Suitcase Carry,suitcase-carry,carry,strength,carry,obliques|forearms,traps|abs|glutes,dumbbell,TRUE,2,1,30,60,90,TRUE,time_load,,,,,,,,,TRUE,
Front Rack Carry,front-rack-carry,carry,strength,carry,abs|upper_back,forearms|erectors|traps,kettlebell,TRUE,2,2,20,45,90,FALSE,time_load,,,,,,,,,TRUE,
Overhead Carry,overhead-carry,carry,strength,carry,front_delts|abs,traps|forearms|obliques,kettlebell,TRUE,2,3,20,45,90,TRUE,time_load,,overhead,,,,shoulder,,,TRUE,
Zercher Carry,zercher-carry,carry,strength,carry,upper_back|abs,biceps|erectors|quads,barbell,TRUE,3,2,20,45,120,FALSE,time_load,,,,,,lower_back|elbow,,,TRUE,
Dead Hang,dead-hang,grip_hold,strength,carry,forearms,lats|traps,pullup_bar,FALSE,1,1,20,60,60,FALSE,time,stretch,,,,,shoulder,,,TRUE,
Farmer Hold,farmer-hold,grip_hold,strength,carry,forearms,traps|abs,dumbbell,FALSE,1,1,20,60,60,FALSE,time_load,,,,,,,,,TRUE,
Plate Pinch Hold,plate-pinch-hold,grip_hold,strength,carry,forearms,,plate,FALSE,1,1,15,45,45,FALSE,time_load,,,,,,,,,TRUE,
Sled Rope Pull,sled-rope-pull,sled,strength,locomotion,lats|mid_back,biceps|rear_delts,sled,TRUE,2,1,20,40,90,FALSE,weight_distance,,,,,,,,abs,TRUE,
Lateral Sled Drag,lateral-sled-drag,sled,strength,locomotion,abductors|quads,glutes|calves,sled,TRUE,2,2,20,40,90,TRUE,weight_distance,,,,,,,,,TRUE,
Bear Crawl,bear-crawl,crawl,strength,locomotion,abs|front_delts,quads|obliques|traps,bodyweight,TRUE,2,2,20,60,60,FALSE,time,,,,,,wrist|shoulder,,,TRUE,
Mountain Climber,mountain-climber,crawl,strength,locomotion,abs|hip_flexors,front_delts|quads,bodyweight,TRUE,2,2,20,60,60,FALSE,time,,,,,,wrist|shoulder,,,TRUE,
Ring Muscle-Up,ring-muscle-up,pull_up,strength,explosive,lats|chest,biceps|triceps,rings,TRUE,4,5,2,5,180,FALSE,reps_only,,,,,,shoulder|elbow,ring-muscle-up,abs,TRUE,
Muscle Snatch,muscle-snatch,snatch,strength,explosive,traps,front_delts|glutes,barbell|platform,TRUE,3,4,3,6,120,FALSE,weight_reps,,overhead,wide,,,shoulder,,abs|erectors,FALSE,
Split Snatch,split-snatch,snatch,strength,explosive,glutes,quads|front_delts|traps,barbell|platform,TRUE,4,5,2,5,180,FALSE,weight_reps,,overhead,wide,,,shoulder,olympic-lift,abs|erectors,FALSE,
Power Snatch from Blocks,power-snatch-from-blocks,snatch,strength,explosive,glutes,quads|traps|front_delts,barbell|platform|box,TRUE,4,5,2,5,180,FALSE,weight_reps,,overhead,wide,,,shoulder,olympic-lift,abs|erectors,FALSE,
Power Clean from Blocks,power-clean-from-blocks,clean,strength,explosive,glutes,quads|traps,barbell|platform|box,TRUE,4,4,3,6,150,FALSE,weight_reps,,,,,,lower_back,,abs|erectors,FALSE,
Behind-Neck Push Press,behind-neck-push-press,jerk,strength,explosive,front_delts,triceps|quads,barbell|rack,TRUE,3,4,3,8,120,FALSE,weight_reps,,overhead,,,,shoulder,,abs,FALSE,
Yoke Walk,yoke-walk,carry,strength,carry,upper_back,quads|glutes|abs,barbell|rack,TRUE,4,3,20,40,180,FALSE,weight_distance,,,,,,lower_back,,erectors|abs,FALSE,
Sandbag Carry,sandbag-carry,carry,strength,carry,upper_back,abs|glutes,sandbag,TRUE,3,2,20,40,120,FALSE,weight_distance,,,,,,lower_back,,erectors|abs,FALSE,
Sandbag Load,sandbag-load,sandbag_lift,strength,hinge,glutes,erectors|upper_back|biceps,sandbag|platform,TRUE,4,3,5,10,150,FALSE,reps_only,,,,,,lower_back,,erectors|abs,FALSE,
Sandbag Shouldering,sandbag-shouldering,sandbag_lift,strength,explosive,glutes,upper_back|erectors,sandbag,TRUE,4,3,5,10,150,TRUE,reps_only,,,,,,lower_back,,erectors|abs,FALSE,
Sled Drag Harness,sled-drag-harness,sled,strength,locomotion,quads,glutes|calves,sled,TRUE,3,2,20,40,120,FALSE,weight_distance,,,,,,,,abs|erectors,FALSE,
Prowler Sprint,prowler-sprint,sled,strength,locomotion,quads,glutes|calves,sled,TRUE,4,3,10,30,180,FALSE,weight_distance,,,,,,,,abs|erectors,FALSE,
Single-Arm Med Ball Slam,single-arm-med-ball-slam,throw,strength,explosive,abs,obliques|lats,med_ball,TRUE,2,3,6,12,60,TRUE,reps_only,,,,,,,,abs|obliques,FALSE,
